,player_id,player_name,born,url,market_value
69,,Bartosz Mrozek,2000,https://www.transfermarkt.pl/bartosz-mrozek/profil/spieler/345452,900000
70,,Mateusz Praszelik,2000,https://www.transfermarkt.pl/mateusz-praszelik/profil/spieler/374418,900000
71,,Krzysztof Kubica,2000,https://www.transfermarkt.pl/krzysztof-kubica/profil/spieler/573968,900000
72,,Bartlomiej Wdowik,2000,https://www.transfermarkt.pl/bartlomiej-wdowik/profil/spieler/589013,900000
73,,Maciej Zurawski,2000,https://www.transfermarkt.pl/maciej-zurawski/profil/spieler/454388,600000
74,,Karol Czubak,2000,https://www.transfermarkt.pl/karol-czubak/profil/spieler/622871,600000
75,,Michael Ameyaw,2000,https://www.transfermarkt.pl/michael-ameyaw/profil/spieler/528414,550000
76,,Kamil Kruk,2000,https://www.transfermarkt.pl/kamil-kruk/profil/spieler/372696,500000
77,,Mateusz Kochalski,2000,https://www.transfermarkt.pl/mateusz-kochalski/profil/spieler/404055,500000
78,,Filip Majchrowicz,2000,https://www.transfermarkt.pl/filip-majchrowicz/profil/spieler/528402,500000
79,,Mateusz Skrzypczak,2000,https://www.transfermarkt.pl/mateusz-skrzypczak/profil/spieler/345454,450000
80,,Kacper Michalski,2000,https://www.transfermarkt.pl/kacper-michalski/profil/spieler/466224,450000
81,,Wiktor Dlugosz,2000,https://www.transfermarkt.pl/wiktor-dlugosz/profil/spieler/453156,400000
82,,Wojciech Hajda,2000,https://www.transfermarkt.pl/wojciech-hajda/profil/spieler/372695,350000
83,,Marcel Pieczek,2000,https://www.transfermarkt.pl/marcel-pieczek/profil/spieler/585080,350000
84,,Jakub Bielecki,2000,https://www.transfermarkt.pl/jakub-bielecki/profil/spieler/596470,350000
85,,Jakub Stolarczyk,2000,https://www.transfermarkt.pl/jakub-stolarczyk/profil/spieler/486144,250000
86,,Piotr Janczukowicz,2000,https://www.transfermarkt.pl/piotr-janczukowicz/profil/spieler/496093,250000
87,,Maksymilian Sitek,2000,https://www.transfermarkt.pl/maksymilian-sitek/profil/spieler/532428,250000
88,,Jakub Letniowski,2000,https://www.transfermarkt.pl/jakub-letniowski/profil/spieler/573147,200000
